PULocationID,borough,zone,service_zone,origin_borough,destination_borough,borough_pair,route_id,route_name
149,Brooklyn,Madison,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
150,Brooklyn,Manhattan Beach,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
165,Brooklyn,Midwood,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
177,Brooklyn,Ocean Hill,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
178,Brooklyn,Ocean Parkway South,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
181,Brooklyn,Park Slope,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
189,Brooklyn,Prospect Heights,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
190,Brooklyn,Prospect Park,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
195,Brooklyn,Red Hook,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
210,Brooklyn,Sheepshead Bay,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
217,Brooklyn,South Williamsburg,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
222,Brooklyn,Starrett City,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
225,Brooklyn,Stuyvesant Heights,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
227,Brooklyn,Sunset Park East,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
228,Brooklyn,Sunset Park West,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
255,Brooklyn,Williamsburg (North Side),Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
256,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
257,Brooklyn,Windsor Terrace,Boro Zone,Brooklyn,Staten Island,Brooklyn->Staten Island,8,corridor_08_brooklyn_to_staten_island
4,Manhattan,Alphabet City,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
12,Manhattan,Battery Park,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
13,Manhattan,Battery Park City,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
24,Manhattan,Bloomingdale,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
41,Manhattan,Central Harlem,Boro Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
42,Manhattan,Central Harlem North,Boro Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
43,Manhattan,Central Park,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
45,Manhattan,Chinatown,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
48,Manhattan,Clinton East,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
50,Manhattan,Clinton West,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
68,Manhattan,East Chelsea,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
74,Manhattan,East Harlem North,Boro Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
75,Manhattan,East Harlem South,Boro Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
79,Manhattan,East Village,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
87,Manhattan,Financial District North,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
88,Manhattan,Financial District South,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
90,Manhattan,Flatiron,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
100,Manhattan,Garment District,Yellow Zone,Manhattan,Bronx,Manhattan->Bronx,9,corridor_09_manhattan_to_bronx
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
107,Manhattan,Gramercy,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
113,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
114,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
116,Manhattan,Hamilton Heights,Boro Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
120,Manhattan,Highbridge Park,Boro Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
125,Manhattan,Hudson Sq,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
127,Manhattan,Inwood,Boro Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
128,Manhattan,Inwood Hill Park,Boro Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
137,Manhattan,Kips Bay,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
140,Manhattan,Lenox Hill East,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
141,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
142,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
143,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,Brooklyn,Manhattan->Brooklyn,10,corridor_10_manhattan_to_brooklyn
148,Manhattan,Lower East Side,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
151,Manhattan,Manhattan Valley,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
152,Manhattan,Manhattanville,Boro Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
153,Manhattan,Marble Hill,Boro Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
158,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
